"Date","positive_score","negative_score","stock_price"
2015-08-01,0.0801,0.0869,NA
2015-08-02,0.0551,0.0696,NA
2015-08-03,0.0742,0.0818,743.039978
2015-08-04,0.074,0.0904,748.090027
2015-08-05,0.0689,0.0882,757.77002
2015-08-06,0.0729,0.0912,749.599976
2015-08-07,0.0818,0.0906,749.119995
2015-08-08,0.0751,0.0875,NA
2015-08-09,0.0732,0.0898,NA
2015-08-10,0.0743,0.0848,744.23999
2015-08-11,0.0734,0.0901,745.659973
2015-08-12,0.0736,0.0822,745.97998
2015-08-13,0.0671,0.084,743.599976
2015-08-14,0.0683,0.0893,748.340027
2015-08-15,0.0645,0.0881,NA
2015-08-16,0.0792,0.095,NA
2015-08-17,0.0683,0.0787,754.030029
2015-08-18,0.0697,0.0891,745.919983
2015-08-19,0.0744,0.08,745.280029
2015-08-20,0.0778,0.091,735.150024
2015-08-21,0.0738,0.0882,720.01001
2015-08-22,0.0752,0.0839,NA
2015-08-23,0.075,0.0929,NA
2015-08-24,0.0733,0.0806,704.25
2015-08-25,0.067,0.0754,695.390015
2015-08-26,0.0771,0.0864,707.640015
2015-08-27,0.073,0.0823,727.169983
2015-08-28,0.075,0.0855,721.200012
2015-08-29,0.0763,0.0848,NA
2015-08-30,0.0724,0.0937,NA
2015-08-31,0.0784,0.0823,710.01001
2015-09-01,0.0671,0.0918,706.710022
2015-09-02,0.068,0.0848,723.869995
2015-09-03,0.0612,0.0869,724.98999
2015-09-04,0.0733,0.0894,719.22998
2015-09-05,0.0816,0.0828,NA
2015-09-06,0.067,0.0834,NA
2015-09-07,0.0676,0.0767,NA
2015-09-08,0.0691,0.0826,732.140015
2015-09-09,0.0712,0.0886,718.830017
2015-09-10,0.0602,0.0857,723.190002
2015-09-11,0.0608,0.0871,729.059998
2015-09-12,0.0635,0.0892,NA
2015-09-13,0.0829,0.0887,NA
2015-09-14,0.0807,0.089,726.799988
2015-09-15,0.0728,0.0759,732.080017
2015-09-16,0.071,0.0828,730.01001
2015-09-17,0.073,0.0849,730.200012
2015-09-18,0.0753,0.0846,729.47998
2015-09-19,0.0745,0.0838,NA
2015-09-20,0.0672,0.087,NA
2015-09-21,0.0724,0.0881,731.190002
2015-09-22,0.0902,0.0869,726.969971
2015-09-23,0.0793,0.0923,731.570007
2015-09-24,0.0691,0.0855,731.169983
2015-09-25,0.0712,0.0815,730.280029
2015-09-26,0.0726,0.0852,NA
2015-09-27,0.0752,0.0789,NA
2015-09-28,0.0738,0.087,708.030029
2015-09-29,0.0727,0.0859,708.539978
2015-09-30,0.0734,0.0869,720.25
2015-10-01,0.0707,0.087,724.429993
2015-10-02,0.0672,0.0818,724.450012
2015-10-03,0.0696,0.0848,NA
2015-10-04,0.0751,0.0889,NA
2015-10-05,0.0695,0.0812,728.080017
2015-10-06,0.0743,0.088,713.25
2015-10-07,0.0757,0.0868,720.159973
2015-10-08,0.0721,0.0926,734.77002
2015-10-09,0.0722,0.0888,732.929993
2015-10-10,0.068,0.0853,NA
2015-10-11,0.0665,0.0894,NA
2015-10-12,0.0733,0.0814,747.820007
2015-10-13,0.069,0.0818,750.419983
2015-10-14,0.0711,0.0814,718.559998
2015-10-15,0.0744,0.0853,723.809998
2015-10-16,0.0711,0.0871,722.700012
2015-10-17,0.0668,0.0796,NA
2015-10-18,0.0738,0.0829,NA
2015-10-19,0.0722,0.0859,718.640015
2015-10-20,0.0514,0.083,705.630005
2015-10-21,0.0733,0.0838,665.669983
2015-10-22,0.0706,0.0774,650.619995
2015-10-23,0.0709,0.0912,649.719971
2015-10-24,0.0681,0.0844,NA
2015-10-25,0.0688,0.0816,NA
2015-10-26,0.0716,0.0868,659.690002
2015-10-27,0.0751,0.0846,656.549988
2015-10-28,0.0709,0.0833,654.890015
2015-10-29,0.0727,0.0878,648.200012
2015-10-30,0.0661,0.0886,640.22998
2015-10-31,0.0648,0.0744,NA
