"Date","positive_score","negative_score","stock_price"
2015-08-01,0.0505,0.0593,NA
2015-08-02,0.0565,0.0734,NA
2015-08-03,0.0542,0.0771,63.134438
2015-08-04,0.0428,0.0617,63.400433
2015-08-05,0.036,0.0599,64.011505
2015-08-06,0.0596,0.0709,63.098492
2015-08-07,0.0732,0.0713,62.983463
2015-08-08,0.0607,0.0736,NA
2015-08-09,0.0516,0.0601,NA
2015-08-10,0.0647,0.0662,63.134438
2015-08-11,0.0642,0.0751,60.057514
2015-08-12,0.0585,0.0705,58.001438
2015-08-13,0.0628,0.0713,60.244427
2015-08-14,0.0644,0.07,60.093456
2015-08-15,0.0662,0.0763,NA
2015-08-16,0.0646,0.0806,NA
2015-08-17,0.0545,0.0625,61.128685
2015-08-18,0.0623,0.0685,60.53199
2015-08-19,0.0584,0.0699,61.890728
2015-08-20,0.064,0.0773,58.820992
2015-08-21,0.0616,0.0759,57.296909
2015-08-22,0.0627,0.0765,NA
2015-08-23,0.0625,0.0731,NA
2015-08-24,0.0653,0.0756,55.492451
2015-08-25,0.0626,0.0816,54.708843
2015-08-26,0.0697,0.0766,57.282532
2015-08-27,0.0654,0.0757,59.144501
2015-08-28,0.0665,0.075,58.820992
2015-08-29,0.0606,0.0745,NA
2015-08-30,0.0582,0.0749,NA
2015-08-31,0.0585,0.0761,57.347233
2015-09-01,0.0689,0.0795,56.865562
2015-09-02,0.0677,0.071,57.706684
2015-09-03,0.0684,0.0723,57.670742
2015-09-04,0.0653,0.0763,56.714592
2015-09-05,0.0637,0.0737,NA
2015-09-06,0.0611,0.0747,NA
2015-09-07,0.0661,0.0737,NA
2015-09-08,0.0643,0.0703,58.777859
2015-09-09,0.0606,0.0779,58.245865
2015-09-10,0.0641,0.0781,57.440689
2015-09-11,0.0611,0.0693,58.540619
2015-09-12,0.0619,0.076,NA
2015-09-13,0.0549,0.0726,NA
2015-09-14,0.0616,0.0758,58.195541
2015-09-15,0.0537,0.053,59.252335
2015-09-16,0.0587,0.0642,59.719627
2015-09-17,0.0749,0.0619,59.647736
2015-09-18,0.0831,0.0611,57.620419
2015-09-19,0.068,0.0701,NA
2015-09-20,0.06,0.0713,NA
2015-09-21,0.061,0.0737,57.821712
2015-09-22,0.0554,0.0707,57.009346
2015-09-23,0.0518,0.076,56.73616
2015-09-24,0.0724,0.0656,56.304817
2015-09-25,0.0644,0.0686,56.506111
2015-09-26,0.065,0.0726,NA
2015-09-27,0.0622,0.0743,NA
2015-09-28,0.0597,0.0611,54.636951
2015-09-29,0.0593,0.0651,54.744789
2015-09-30,0.0627,0.072,57.476635
2015-10-01,0.0627,0.0651,57.419125
2015-10-02,0.0627,0.0655,58.662834
2015-10-03,0.0619,0.0707,NA
2015-10-04,0.0602,0.0725,NA
2015-10-05,0.0581,0.0698,59.70525
2015-10-06,0.0592,0.0759,59.971245
2015-10-07,0.062,0.0712,48.677212
2015-10-08,0.0595,0.0712,48.497482
2015-10-09,0.0696,0.0734,50.503235
2015-10-10,0.0587,0.069,NA
2015-10-11,0.0617,0.0721,NA
2015-10-12,0.061,0.0754,50.927391
2015-10-13,0.0619,0.073,50.309132
2015-10-14,0.0599,0.0732,49.302658
2015-10-15,0.0669,0.0662,49.798706
2015-10-16,0.0628,0.0746,51.876347
2015-10-17,0.0613,0.0753,NA
2015-10-18,0.0564,0.0707,NA
2015-10-19,0.0608,0.0706,51.552841
2015-10-20,0.0598,0.0743,52.501797
2015-10-21,0.0639,0.0706,52.882816
2015-10-22,0.0641,0.0693,52.250179
2015-10-23,0.0649,0.0725,52.40115
2015-10-24,0.0605,0.0726,NA
2015-10-25,0.0573,0.0719,NA
2015-10-26,0.0625,0.063,53.328541
2015-10-27,0.0693,0.0729,52.602444
2015-10-28,0.0656,0.07,52.458664
2015-10-29,0.0641,0.0694,52.127964
2015-10-30,0.0608,0.0687,50.977715
2015-10-31,0.0639,0.0723,NA
