Date,Total Words,Positive Words,Negative Words,Positive Score,Negative Score
2017-08-01,15054,1127,1426,0.0749,0.0947
2017-08-02,15279,1129,1356,0.0739,0.0887
2017-08-03,15913,1199,1662,0.0753,0.1044
2017-08-04,15469,1156,1586,0.0747,0.1025
2017-08-05,16490,1265,1487,0.0767,0.0902
2017-08-06,14796,1145,1390,0.0774,0.0939
2017-08-07,15388,1130,1413,0.0734,0.0918
2017-08-08,14660,1066,1301,0.0727,0.0887
2017-08-09,16057,1148,1362,0.0715,0.0848
2017-08-10,16559,1072,1294,0.0647,0.0781
2017-08-11,15232,1099,1314,0.0722,0.0863
2017-08-12,15758,1115,1362,0.0708,0.0864
2017-08-13,14698,1206,1281,0.0821,0.0872
2017-08-14,12692,902,1154,0.0711,0.0909
2017-08-15,16418,1278,1726,0.0778,0.1051
2017-08-16,15343,1254,1510,0.0817,0.0984
2017-08-17,16245,1195,1500,0.0736,0.0923
2017-08-18,12410,872,1234,0.0703,0.0994
2017-08-19,15738,1188,1576,0.0755,0.1001
2017-08-20,15446,1094,1348,0.0708,0.0873
2017-08-21,15820,1077,1398,0.0681,0.0884
2017-08-22,16858,1173,1628,0.0696,0.0966
2017-08-23,15927,1085,1314,0.0681,0.0825
2017-08-24,16208,1230,1751,0.0759,0.108
2017-08-25,16678,1201,1790,0.072,0.1073
2017-08-26,16877,1190,1675,0.0705,0.0992
2017-08-27,15401,1140,1464,0.074,0.0951
2017-08-28,15734,1162,1451,0.0739,0.0922
2017-08-29,16179,1217,1592,0.0752,0.0984
2017-08-30,16006,1213,1628,0.0758,0.1017
2017-08-31,17082,1262,1826,0.0739,0.1069
2017-09-01,15158,1151,1524,0.0759,0.1005
2017-09-02,16378,1054,1259,0.0644,0.0769
2017-09-03,15600,1092,1288,0.07,0.0826
2017-09-04,16101,940,1480,0.0584,0.0919
2017-09-05,5357,288,392,0.0538,0.0732
2017-09-06,16544,1157,1173,0.0699,0.0709
2017-09-07,16380,1111,1328,0.0678,0.0811
2017-09-08,15471,1155,1393,0.0747,0.09
2017-09-09,14959,1061,1401,0.0709,0.0937
2017-09-10,14908,1086,1387,0.0728,0.093
2017-09-11,15671,1041,1273,0.0664,0.0812
2017-09-12,14150,1138,1364,0.0804,0.0964
2017-09-13,14610,1275,1630,0.0873,0.1116
2017-09-14,15191,1246,1566,0.082,0.1031
2017-09-15,14594,1195,1373,0.0819,0.0941
2017-09-16,14862,1100,1442,0.074,0.097
2017-09-17,14798,1191,1564,0.0805,0.1057
2017-09-18,17029,1146,1481,0.0673,0.087
2017-09-19,16400,1385,1521,0.0845,0.0927
2017-09-20,15970,1336,1517,0.0837,0.095
2017-09-21,16715,1267,1509,0.0758,0.0903
2017-09-22,16169,1197,1470,0.074,0.0909
2017-09-23,17655,1378,1218,0.0781,0.069
2017-09-24,15605,1116,1395,0.0715,0.0894
2017-09-25,3586,267,303,0.0745,0.0845
2017-09-26,16528,1269,1397,0.0768,0.0845
2017-09-27,16774,1288,1438,0.0768,0.0857
2017-09-28,15901,1179,1360,0.0741,0.0855
2017-09-29,16032,1309,1477,0.0816,0.0921
2017-09-30,15769,1206,1437,0.0765,0.0911
2017-10-01,15971,1207,1510,0.0756,0.0945
2017-10-02,17028,1186,1348,0.0696,0.0792
2017-10-03,16891,1266,1470,0.075,0.087
2017-10-04,16095,1233,1312,0.0766,0.0815
2017-10-05,15669,1144,1418,0.073,0.0905
2017-10-06,15839,1162,1469,0.0734,0.0927
2017-10-07,14846,1057,1440,0.0712,0.097
2017-10-08,15490,1151,1417,0.0743,0.0915
2017-10-09,16295,1233,1494,0.0757,0.0917
2017-10-10,16501,1278,1390,0.0774,0.0842
2017-10-11,16631,1210,1410,0.0728,0.0848
2017-10-12,16219,1209,1367,0.0745,0.0843
2017-10-13,16613,1117,1309,0.0672,0.0788
2017-10-14,15152,1080,1433,0.0713,0.0946
2017-10-15,15936,1184,1491,0.0743,0.0936
2017-10-16,15937,1239,1349,0.0777,0.0846
2017-10-17,16501,1175,1390,0.0712,0.0842
2017-10-18,17024,1284,1426,0.0754,0.0838
2017-10-19,16998,1279,1464,0.0752,0.0861
2017-10-20,16978,1130,1510,0.0666,0.0889
2017-10-21,15982,1212,1477,0.0758,0.0924
2017-10-22,16571,1140,1461,0.0688,0.0882
2017-10-23,16824,1136,1372,0.0675,0.0816
2017-10-24,18059,1012,1862,0.056,0.1031
2017-10-25,18349,1246,1547,0.0679,0.0843
2017-10-26,17099,1238,1492,0.0724,0.0873
2017-10-27,16241,1099,1415,0.0677,0.0871
2017-10-28,17020,1064,1456,0.0625,0.0855
2017-10-29,15480,1102,1480,0.0712,0.0956
2017-10-30,15794,1136,1386,0.0719,0.0878
2017-10-31,14986,1010,1438,0.0674,0.096
