Date,Total Words,Positive Words,Negative Words,Positive Score,Negative Score
2017-08-01,17480,1076,1326,0.0616,0.0759
2017-08-02,17320,1065,1284,0.0615,0.0741
2017-08-03,16632,1029,1286,0.0619,0.0773
2017-08-04,16606,1082,1242,0.0652,0.0748
2017-08-05,16536,982,1179,0.0594,0.0713
2017-08-06,17055,1076,1327,0.0631,0.0778
2017-08-07,16186,987,1147,0.061,0.0709
2017-08-08,16677,1026,1123,0.0615,0.0673
2017-08-09,17225,1119,1342,0.065,0.0779
2017-08-10,16843,947,1174,0.0562,0.0697
2017-08-11,19097,1210,1245,0.0634,0.0652
2017-08-12,18156,1047,1349,0.0577,0.0743
2017-08-13,17499,1033,1224,0.059,0.0699
2017-08-14,17456,1036,1347,0.0593,0.0772
2017-08-15,19317,1056,1440,0.0547,0.0745
2017-08-16,18288,1038,1366,0.0568,0.0747
2017-08-17,19302,1078,1244,0.0558,0.0644
2017-08-18,21034,1664,1278,0.0791,0.0608
2017-08-19,22232,1813,1421,0.0815,0.0639
2017-08-20,21455,1742,1449,0.0812,0.0675
2017-08-21,22603,1878,1486,0.0831,0.0657
2017-08-22,22387,1869,1417,0.0835,0.0633
2017-08-23,21390,1771,1461,0.0828,0.0683
2017-08-24,20928,1629,1424,0.0778,0.068
2017-08-25,19471,1420,1391,0.0729,0.0714
2017-08-26,19778,1513,1308,0.0765,0.0661
2017-08-27,18262,1278,1296,0.07,0.071
2017-08-28,17652,1172,1253,0.0664,0.071
2017-08-29,16489,1113,1211,0.0675,0.0734
2017-08-30,17140,1125,1207,0.0656,0.0704
2017-08-31,15438,1099,1137,0.0712,0.0736
2017-09-01,17228,1106,1320,0.0642,0.0766
2017-09-02,17481,1073,1352,0.0614,0.0773
2017-09-03,17032,1057,1376,0.0621,0.0808
2017-09-04,17712,1118,1324,0.0631,0.0748
2017-09-05,17876,1084,1406,0.0606,0.0787
2017-09-06,17656,1052,1486,0.0596,0.0842
2017-09-07,22704,1019,1919,0.0449,0.0845
2017-09-08,18970,1031,1588,0.0543,0.0837
2017-09-09,16812,943,1389,0.0561,0.0826
2017-09-10,16252,978,1298,0.0602,0.0799
2017-09-11,16618,1071,1443,0.0644,0.0868
2017-09-12,17137,1092,1410,0.0637,0.0823
2017-09-13,15500,940,1181,0.0606,0.0762
2017-09-14,17187,1196,1372,0.0696,0.0798
2017-09-15,18898,1182,1293,0.0625,0.0684
2017-09-16,16567,954,1260,0.0576,0.0761
2017-09-17,1377,72,108,0.0523,0.0784
2017-09-18,17504,1110,1314,0.0634,0.0751
2017-09-19,19928,991,1378,0.0497,0.0691
2017-09-20,18495,1215,1218,0.0657,0.0659
2017-09-21,18178,1143,1489,0.0629,0.0819
2017-09-22,17059,1062,1319,0.0623,0.0773
2017-09-23,17885,1099,1424,0.0614,0.0796
2017-09-24,18068,1072,1474,0.0593,0.0816
2017-09-25,17650,1108,1372,0.0628,0.0777
2017-09-26,17771,1225,1436,0.0689,0.0808
2017-09-27,18089,1211,1348,0.0669,0.0745
2017-09-28,20196,1165,1535,0.0577,0.076
2017-09-29,19238,1148,1274,0.0597,0.0662
2017-09-30,17061,1036,1356,0.0607,0.0795
2017-10-01,17853,1094,1337,0.0613,0.0749
2017-10-02,19497,1131,1343,0.058,0.0689
2017-10-03,18045,1073,1061,0.0595,0.0588
2017-10-04,15730,957,1030,0.0608,0.0655
2017-10-05,15653,1113,1314,0.0711,0.0839
2017-10-06,17243,1094,1321,0.0634,0.0766
2017-10-07,16132,969,1341,0.0601,0.0831
2017-10-08,16933,1107,1386,0.0654,0.0819
2017-10-09,15755,976,1260,0.0619,0.08
2017-10-10,16190,1080,1240,0.0667,0.0766
2017-10-11,17572,958,1242,0.0545,0.0707
2017-10-12,18113,1106,1413,0.0611,0.078
2017-10-13,17131,1028,1360,0.06,0.0794
2017-10-14,16134,1027,1316,0.0637,0.0816
2017-10-15,16605,1108,1346,0.0667,0.0811
2017-10-16,17835,1263,1383,0.0708,0.0775
2017-10-17,18366,1327,1487,0.0723,0.081
2017-10-18,18191,1168,1415,0.0642,0.0778
2017-10-19,16757,1160,1367,0.0692,0.0816
2017-10-20,18090,1102,1369,0.0609,0.0757
2017-10-21,16848,1030,1301,0.0611,0.0772
2017-10-22,16599,1011,1378,0.0609,0.083
2017-10-23,17374,908,1092,0.0523,0.0629
2017-10-24,18892,1090,1270,0.0577,0.0672
2017-10-25,18233,1106,1428,0.0607,0.0783
2017-10-26,16375,1106,1137,0.0675,0.0694
2017-10-27,18363,1248,1406,0.068,0.0766
2017-10-28,17764,1263,1379,0.0711,0.0776
2017-10-29,16760,1092,1324,0.0652,0.079
2017-10-30,17411,1101,1415,0.0632,0.0813
2017-10-31,17203,1015,1130,0.059,0.0657
